"group","condition","HR_RR","HR_DET","HR_NRLINE","HR_maxL","HR_L","HR_ENTR","HR_LAM","HR_TT","resp_RR","resp_DET","resp_NRLINE","resp_maxL","resp_L","resp_ENTR","resp_LAM","resp_TT","pair","HREmbed","HRDelay","HRRadius","respDelay","respEmbed","respRadius","study","trial"
"5_1_10_2","Conversation",3.68191320572273,96.2561044491875,19425,119,9.91346203346203,2.72760377665737,98.2085284840972,18.0783032756717,3.72547255185132,85.7159738700498,52252,35,3.47047002985532,1.65158625012935,91.8504618118908,4.08108959549712,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"5_2_10_1","Conversation",1.41294079518018,93.1551456892397,6989,61,10.2329374731721,2.87431367855566,94.6048741093874,11.5086357154175,3.8145952349213,83.4719022800401,53113,48,3.40436427993147,1.59513981925789,91.574607952211,4.08517648997076,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"5_1_10_1","Conversation",5.50462210693871,97.2788092157394,22517,109,12.9217036017231,2.96032354157056,98.745223121596,30.3321351545651,4.86925767549517,89.5689125167263,64286,45,3.85258065519709,1.83150931412842,94.7560666883657,4.97267033592712,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"5_2_10_2","Conversation",1.00930126670152,92.2685581955106,6258,72,8.08581016299137,2.61984083885003,94.4621724622089,10.1556557537738,3.49057678629698,78.7780182525389,49600,37,3.14824596774194,1.44728276907697,89.3304879956008,3.77459444479973,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"6_1_10_2","Conversation",2.49418383266517,96.4242231945869,12228,121,10.6867026496565,2.79590607543342,98.4821764571327,18.990608992601,4.09740698953579,85.4318610618062,57563,29,3.45329465107795,1.64467043393641,91.7220720391612,4.04706640876854,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"6_2_10_1","Conversation",3.80645399950419,96.8253507779486,10084,132,19.8591828639429,3.48447257639283,97.748832351832,30.0267339967325,5.12739824279865,83.7046526244209,69542,44,3.50467343475885,1.66587630667207,90.2922357805948,4.36657919213394,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"6_1_10_1","Conversation",2.55537758755262,96.6258066374741,11414,121,11.7542491676888,2.83719612283024,98.4133728969809,23.6042494385904,4.72882033159414,88.467797493809,63476,46,3.74262713466507,1.78469022267702,94.0845699815666,4.7099287871444,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"6_2_10_2","Conversation",2.33213540806848,94.8870720813144,10440,125,11.5171455938697,2.92098452861578,97.2789974589246,22.4740200546946,4.04121444227708,78.2511503869483,56887,27,3.15673176648443,1.47558843993351,87.5997873527156,4.04659916664989,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"7_1_10_2","Conversation",4.00853142165883,96.9785038061394,17763,160,11.8912908855486,2.9501792544885,98.4385186817627,16.0494797514784,4.10084088070327,82.7206987469619,55860,43,3.44853204439671,1.63848574721428,92.4371119145976,4.13329493087558,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"7_2_10_1","Conversation",3.90140094129798,96.0780243885181,15290,155,13.3205362982341,3.01053291433514,97.6677595112862,15.5086891385768,4.22935645885873,86.7919657578735,57866,36,3.60228804479314,1.72205462894221,94.8257915160801,5.49206617150574,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"7_1_10_1","Conversation",5.10431372722235,97.3585341054135,17495,202,15.4341240354387,3.21738691973307,98.9316593713268,22.6612983151635,4.52777040616241,85.1270622826873,61498,41,3.55909135256431,1.69867255762587,93.9879743930802,4.71007854678699,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"7_2_10_2","Conversation",3.25219501538678,95.2079678569407,16066,140,10.4719282957799,2.82307229348021,97.0041310621923,13.2777691711851,4.49572075526587,85.172621798839,62626,39,3.47210423785648,1.65230118528169,93.9858518280598,5.40183254913438,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"8_1_10_2","Conversation",5.19464123067727,97.2581433744075,20202,150,13.5885060885061,3.09863733273262,98.0343945524244,15.5846803717263,4.11066709235177,77.5262174851777,59877,30,3.0223792107153,1.37772280136177,92.1480345453922,4.05014121634344,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"8_2_10_1","Conversation",4.92772603454714,97.8267121317941,11158,148,23.4748162753182,3.58661701627073,98.9452887197433,38.5909686817189,3.72464489603146,79.5542548614493,52435,28,3.20903976351673,1.4999507969705,88.2280354213256,3.8792641097599,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"8_1_10_1","Conversation",7.87709938289089,98.2224589784746,19558,254,21.4949892627058,3.51445953900778,98.8789902968877,26.4538692336542,4.75979579089469,82.5564015479441,65809,40,3.39079761126898,1.59565958572896,94.2229572243557,4.7733815646437,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"8_2_10_2","Conversation",3.19867578554837,96.4045292919529,12207,151,13.7259768985009,3.10208180662583,98.4252195026524,25.410724896019,3.97834781936465,78.8657831602617,56051,35,3.17874792599597,1.48146630116025,88.5768287608778,3.87902225323719,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"9_1_10_2","Conversation",4.58303495626533,97.545598380866,17547,214,13.8433920328261,3.07245491777703,98.5796435656287,17.3905497308019,3.32678898245704,75.3422119649795,48255,29,2.94964252409077,1.3292475525465,91.4518468330175,3.98480060889822,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"9_2_10_1","Conversation",2.42354875559509,94.1838478186582,15618,170,7.94122166730695,2.52145483812323,96.0716862209059,8.70455483693409,4.25865899682127,82.298747911808,60510,37,3.28917534291853,1.53018313468771,90.5816338344994,3.85192544399508,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"9_1_10_1","Conversation",4.92654816979141,97.5527388330401,16472,178,15.8533268576979,3.24348245987573,98.6514100423256,21.0001590457256,3.51847054839594,78.1674949825578,51306,20,3.04410790160995,1.39846730863168,93.5641606982878,4.55294690696542,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"9_2_10_2","Conversation",2.24587521884819,93.9712040383181,14843,94,7.72579667183184,2.46574623976002,95.9780711458564,8.70544076111194,3.79702075602309,77.9344312474202,54800,25,3.06647810218978,1.40856045294629,88.3513201404316,3.59821698398308,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"10_1_5_2","Conversation",1.41294079518018,93.1551456892397,6989,61,10.2329374731721,2.87431367855566,94.6048741093874,11.5086357154175,3.8145952349213,83.4719022800401,53113,48,3.40436427993147,1.59513981925789,91.574607952211,4.08517648997076,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"10_2_5_1","Conversation",3.68191320572273,96.2561044491875,19425,119,9.91346203346203,2.72760377665737,98.2085284840972,18.0783032756717,3.72547255185132,85.7159738700498,52252,35,3.47047002985532,1.65158625012935,91.8504618118908,4.08108959549712,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"10_1_5_1","Conversation",5.50462210693871,97.2788092157394,22517,109,12.9217036017231,2.96032354157056,98.506838918478,15.5003682659933,4.86925767549517,89.5689125167263,64286,45,3.85258065519709,1.83150931412842,95.9654262052005,5.57010012804635,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"10_2_5_2","Conversation",1.00930126670152,92.2685581955106,6258,72,8.08581016299137,2.61984083885003,97.6842143651647,13.0660975609756,3.49057678629698,78.7780182525389,49600,37,3.14824596774194,1.44728276907697,91.690503937564,4.03579517697739,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"6_1_5_2","Conversation",0.119921355442591,76.9490484960098,933,32,5.37406216505895,2.15659797949885,80.1718845917741,5.95667046750285,3.83449419399442,83.6417159206242,53386,50,3.41154984452853,1.57840083890455,90.3269360594078,3.91617553360943,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"6_2_5_1","Conversation",4.19851732593045,96.546252339685,16529,92,13.3250650372073,3.09176238788188,97.6758763681952,27.8847453385058,4.7106647326522,84.2776182786052,64210,34,3.51107304158231,1.67588422974126,89.6143609067528,4.2551431563626,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
